02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;47,6%;;;;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;13,3%;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;9,8%;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;68,0;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;75,3;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;65,7;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;5,9;;;;;;;;;;;;;;;
2º. Personas orinando en la calle;;4,5;;4,0;;;;;;;;;;;;;;;
3º. Robos, atracos y hurtos;;4,0;;2,9;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;26,6%;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;52,4%;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;35,8%;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;16,8%;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;63,7%;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0069;;0,0067;;0,0067;;0,0076;;0,0062;;0,0069;;0,0074;;0,0068;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;13;;84;;85;;64;;102;;82;;70;;83;
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;;;;
