21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);63,2%;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;
1.9.1. Población en general (2017);;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;129.281;1,4%;1843;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969;0,5%;32;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219;0,4%;63;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632;2,0%;271;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030;1,5%;111.786;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;0,6%;421;;;;;;;;;;;;
Hombres;;16.914;0,7%;112;;;;;;;;;;;;
Mujeres;;54.324;0,6%;309;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924;1,5%;5019;;;;;;;;;;;;
Hombres;;124.008;1,7%;2.058;;;;;;;;;;;;
Mujeres ;;201.916;1,5%;2.961;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;1,1%;81;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;1,3%;27;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;2,9%;39;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;4,2%;2;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;5,6%;4;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;7,7%;1;;;;;;;;;;;;
Proyecto Estratégico de Espacio Público;;140;5,0%;7;;;;;;;;;;;;
Proyecto Estratégico de Movilidad;;103;9,7%;10;;;;;;;;;;;;
1.10.2. Estado de las viviendas;;;;;;;;;;;;;;;;
